1,Manchester United,,38,27,6,5,80,22,,17,1,1,47,7,,10,5,4,33,15,,58,87
2,Chelsea,,38,25,10,3,65,26,,12,7,0,36,13,,13,3,3,29,13,,39,85
3,Arsenal,,38,24,11,3,74,31,,14,5,0,37,11,,10,6,3,37,20,,43,83
4,Liverpool,,38,21,13,4,67,28,,12,6,1,43,13,,9,7,3,24,15,,39,76
5,Everton,,38,19,8,11,55,33,,11,4,4,34,17,,8,4,7,21,16,,22,65
6,Aston Villa,,38,16,12,10,71,51,,10,3,6,34,22,,6,9,4,37,29,,20,60
7,Blackburn Rovers,,38,15,13,10,50,48,,8,7,4,26,19,,7,6,6,24,29,,2,58
8,Portsmouth,,38,16,9,13,48,40,,7,8,4,24,14,,9,1,9,24,26,,8,57
9,Manchester City,,38,15,10,13,45,53,,11,4,4,28,20,,4,6,9,17,33,,-8,55
10,West Ham United,,38,13,10,15,42,50,,7,7,5,24,24,,6,3,10,18,26,,-8,49
11,Tottenham Hotspur,,38,11,13,14,66,61,,8,5,6,46,34,,3,8,8,20,27,,5,46
12,Newcastle United,,38,11,10,17,45,65,,8,5,6,25,26,,3,5,11,20,39,,-20,43
13,Middlesbrough,,38,10,12,16,43,53,,7,5,7,27,23,,3,7,9,16,30,,-10,42
14,Wigan Athletic,,38,10,10,18,34,51,,8,5,6,21,17,,2,5,12,13,34,,-17,40
15,Sunderland,,38,11,6,21,36,59,,9,3,7,23,21,,2,3,14,13,38,,-23,39
16,Bolton Wanderers,,38,9,10,19,36,54,,7,5,7,23,18,,2,5,12,13,36,,-18,37
17,Fulham,,38,8,12,18,38,60,,5,5,9,22,31,,3,7,9,16,29,,-22,36
18,Reading,,38,10,6,22,41,66,,8,2,9,19,25,,2,4,13,22,41,,-25,36
19,Birmingham City,,38,8,11,19,46,62,,6,8,5,30,23,,2,3,14,16,39,,-16,35
20,Derby County,,38,1,8,29,20,89,,1,5,13,12,4,,,,,,,,,
